id,bad,wealth,max_unpay_day,score,age,period,education
286,0,3,,250,28,10,
287,0,5,,413,28,6,4
288,0,5,,307,27,10,4
289,0,1,208,205,25,10,2
290,1,1,,0,28,6,4
291,0,4,,288,34,6,4
292,0,4,,355,21,6,2
293,0,3,,330,29,6,4
294,0,4,,356,26,6,4
295,0,8,,263,41,,4
296,0,4,,312,34,,4
297,0,2,,0,25,6,4
298,0,3,,301,29,10,4
299,0,4,,247,28,6,4
300,0,6,,375,26,10,4
301,0,6,,299,41,,4
302,0,4,,337,29,4,4
303,0,4,193,223,24,10,2
304,0,5,171,317,25,6,3
305,1,2,193,230,26,10,2
306,0,3,,275,36,,3
307,0,7,,295,29,10,4
308,1,,208,205,25,10,2
309,0,5,,290,33,6,3
310,0,2,,335,31,6,4
311,0,5,184,283,23,6,
312,0,4,,371,27,6,
313,0,4,,354,29,6,4
314,0,4,,291,31,,4
315,0,5,,334,22,6,2
316,0,3,,323,32,6,4
317,0,4,,354,29,6,4
318,0,2,,300,31,6,4
319,0,8,,289,23,10,3
320,0,5,,332,32,10,4
321,1,3,,226,23,10,2
322,0,1,200,221,23,6,3
323,0,6,,365,31,10,
324,0,4,,257,24,6,2
325,1,3,,275,29,10,4
326,0,3,,325,27,,5
327,0,,,231,23,6,1
328,1,6,,247,22,6,4
329,0,1,,225,24,10,2
330,0,6,,256,26,6,4
331,0,4,184,205,25,10,3
332,0,4,,301,25,10,3
333,0,5,,334,25,10,4
334,0,5,,276,29,6,4
335,0,4,,298,23,10,4
336,0,4,,290,33,4,4
337,0,3,,330,24,10,4
338,0,6,,343,24,6,2
339,0,5,,354,28,10,4
340,0,3,,261,22,6,
341,0,5,,299,32,10,4
342,0,4,,205,23,10,2
343,0,4,,312,26,,4
344,0,3,,327,26,6,4
345,0,7,,278,22,6,
346,0,4,,303,23,6,2
347,0,3,,294,34,4,4
348,0,4,,345,29,6,2
349,0,4,,371,30,4,4
350,0,4,,339,25,6,4
351,0,6,,384,32,6,4
352,0,12,,286,37,10,4
353,0,2,,248,22,6,2
354,0,3,,317,31,6,2
355,0,5,,323,27,,2
356,0,7,,374,34,6,
357,0,3,,304,25,6,2
358,0,4,,230,26,10,2
359,0,3,,346,31,10,2
360,0,3,,257,24,10,4
361,0,9,,300,26,6,4
362,0,7,,308,32,6,2
363,0,6,,247,23,6,
364,0,3,,336,24,10,4
365,0,12,,292,22,6,2
366,0,3,,344,26,10,4
