id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
236,0,良,5.65,8,260,70,43.33,20,20,300,10,60,29.5,6,407
237,0,,16.67,6,212,100,42.4,51,51,8000,10,4080,1096.4,4,286
238,1,良,3.07,2,200,100,100,100,100,200,200,200,200,13,216
239,0,良,19.15,1,70,70,35,0,0,3100,150,2170,1088.75,2,551
240,0,,1.55,5,39,39,39,0,0,8000,8000,3120,3120,4,50
241,0,优,17.6,1,20,20,20,0,0,1000,1000,200,200,30,30
242,0,良,5.71,10,180,100,45,180,100,6100,10,50,20.67,11,121
243,0,优,13.98,1,0,0,0,0,0,0,0,0,0,12,323
244,0,优,8.01,4,18,10,9,0,0,1000,550,80,67.5,0,0
245,0,良,27.29,2,50,50,50,0,0,50,50,25,25,2,1542
246,0,,11.9,1,0,0,0,0,0,0,0,0,0,9,288
247,0,优,6.79,5,155,50,38.75,55,40,4700,30,2350,624.88,0,0
248,0,良,4.38,1,50,50,50,0,0,3,3,1.5,1.5,2,505
249,0,良,4.15,7,186,95,62,91,60,1000,50,950,341.83,0,0
250,0,优,2.91,5,50,50,50,0,0,30,30,15,15,3,373
251,0,良,14.23,2,0,0,0,0,0,0,0,0,0,0,0
252,0,良,7.09,1,40,40,40,0,0,15000,15000,6000,6000,0,0
253,1,优,1.22,9,412.55,100,68.76,222.55,95.05,1000,30,190,92.67,0,0
254,0,良,0.24,2,50,50,50,50,50,100,100,50,50,0,0
255,0,优,2.35,1,20,20,20,0,0,3,3,0.6,0.6,0,0
256,0,优,3.88,1,100,100,100,0,0,100,100,100,100,5,196
257,0,良,6.11,14,207.72,100,69.24,165,100,1250,100,1000,533,0,0
258,0,,3.29,2,151,100,75.5,0,0,100,100,100,75.5,3,818
259,0,优,19.19,2,90,90,90,0,0,500,500,450,450,25,370
260,1,优,5.27,1,100,100,100,0,0,800,800,800,800,11,694
261,0,良,9.03,4,100,60,50,0,0,100,50,40,35,19,536
262,0,优,12.21,1,0,0,0,0,0,0,0,0,0,3,229
263,0,良,8.81,7,247.36,100,82.45,0,0,150,10,106,64.17,0,0
264,0,,0.74,0,0,0,0,0,0,0,0,0,0,0,0
265,0,优,3.95,1,20,20,20,0,0,500,500,100,100,0,0
266,0,良,8.47,1,37,30,18.5,0,0,500,200,60,47.5,0,0
267,0,良,7.54,2,89.7,89.7,89.7,89.7,89.7,301,301,270,270,0,0
268,0,优,13.3,1,10,10,10,0,0,100,100,10,10,8,222
269,0,良,2.74,4,110,70,36.67,70,70,100,50,70,33.33,4,530
270,0,良,0.33,4,133,100,44.33,0,0,1000,100,1000,516.5,0,0
271,0,,3.99,1,80,80,80,0,0,1000,1000,800,800,9,129
272,1,优,0.08,6,200,90,50,0,0,400,100,160,75,0,0
273,0,优,21.16,1,0,0,0,0,0,0,0,0,0,0,0
274,0,优,11.42,7,332.5,77.5,55.42,125,70,1000,100,775,216.67,0,0
275,1,良,4.81,7,218.5,98.5,43.7,50,50,100,3,98.5,26.4,0,0
276,0,良,14.61,8,522.16,98,52.22,380.31,98,4900,50,1863.6,400.24,25,545
277,0,优,17.27,4,184.2,80,61.4,0,0,4081.63,1000,2600,1666.67,7,181
278,0,良,1.57,1,0,0,0,0,0,0,0,0,0,0,0
279,0,优,10.07,5,95.69,,31.9,0,0,5100,10,800,402,26,107
280,0,优,4.35,1,100,,100,0,0,50,50,50,50,6,900
281,0,良,,2,61,,30.5,0,0,1000,50,30,20,0,0
282,0,,,3,110,,55,0,0,50000,1000,10000,5450,4,56
283,0,优,,2,0,,0,0,0,0,0,0,0,0,0
284,0,,,2,83.33,,83.33,0,0,300,300,250,250,0,0
285,0,良,,3,248,,82.67,0,0,1000,100,990,396,0,0
286,0,优,,5,262,,52.4,50,50,625,10,350,185,0,0
287,0,良,,10,0,0,0,0,0,0,0,0,0,4,392
288,0,优,,14,20,20,10,0,0,10000,1000,2700,1450,11,519
289,0,优,7.39,2,40,40,40,0,0,100,100,40,40,7,18
290,0,良,11.16,4,0,0,0,0,0,0,0,0,0,1,82
291,0,优,16.88,2,0,0,0,0,0,0,0,0,0,0,0
292,0,优,6.89,3,130,90,65,0,0,200,50,80,62.5,4,105
293,0,良,3.18,6,0,0,0,0,0,0,0,0,0,5,249
294,0,,1.9,4,170,100,85,0,0,50,50,50,42.5,0,0
295,0,优,16.01,0,0,0,0,0,0,0,0,0,0,0,0
296,0,良,23.28,2,100,80,50,20,20,50,50,40,25,10,28
297,0,良,0.31,13,170,89,56.67,2,2,4000,100,790,319.67,0,0
298,0,,14.46,1,10,10,10,0,0,6500,6500,65,65,57,93
299,0,良,2.96,4,100,100,100,100,100,50,50,50,50,0,0
300,0,良,8.06,2,200,100,100,0,0,2000,501,2000,1250.5,11,855
301,0,优,6.9,2,4,2,2,0,0,303,303,6.06,6.06,10,51
302,0,良,7.1,1,90,90,90,90,90,50,50,45,45,0,0
303,0,,7.9,5,0,0,0,0,0,0,0,0,0,13,895
304,0,优,4.11,3,179.86,99.86,89.93,80,80,700,10,699,353.5,8,1018
305,0,良,8.92,3,100,100,100,0,0,30,30,30,30,11,344
306,1,优,7.17,1,97,97,97,0,0,1000,1000,970,970,0,0
307,0,优,1.12,3,0,0,0,0,0,500,500,30,30,4,296
308,1,优,8.41,2,6.69,6.69,3.35,0,0,601,275,40.2,35.1,10,266
