id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
876,1,优,11.69,1,,0,0,0,0,0,0,0,0,52,259
877,1,良,15.23,7,,90,57.44,70,70,5000,1000,1987.2,1146.8,9,187
878,1,优,17.97,2,,0,0,0,0,0,0,0,0,0,
879,0,优,20.08,5,,100,61.25,0,0,50,50,50,30.62,10,
880,0,,10.57,1,,0,,0,0,0,0,0,0,2,
881,0,良,4.32,2,,50,,0,0,300,300,150,150,0,
882,0,,6.9,19,,90,,2,2,1000,100,500,235,5,
883,0,良,1.62,14,,66.67,,0,0,19000,0,4371.95,1530.65,0,
884,0,良,14.17,3,,22.78,,22.78,22.78,51.8,51.8,11.8,11.8,3,
885,0,优,3.22,1,100,100,,0,0,308,308,308,,0,
886,0,良,5.83,3,120,60,,0,0,1000,100,600,,12,
887,0,优,8.99,8,126,99,,27,27,100,50,49.5,,23,
888,0,优,0.58,2,100,100,,0,0,50,50,,,0,0
889,0,良,11.64,2,112,100,37.33,12,10,50,5,,,0,0
890,0,良,14.7,3,220,70,55,160,70,130,10,,,4,61
891,1,优,16.13,1,70,70,70,0,0,,500,,350,15,2134
892,0,良,13.89,1,100,100,100,100,100,,100,,100,0,0
893,0,良,4.09,1,0,0,0,0,0,,0,,0,0,0
894,0,优,9.85,9,435,100,72.5,125,,,50,,53.33,0,0
895,1,优,3.64,3,51,,25.5,0,,,10,168.3,168.3,0,0
896,1,,,1,60,,60,0,,,8100,4860,4860,0,0
897,0,优,,3,162,,54,0,,,500,990,710,7,301
898,0,良,,2,55,,55,0,,,500,275,275,14,118
899,0,优,,2,0,,0,0,,,0,0,0,0,0
900,0,优,,2,10,,10,0,,10,10,1,1,0,0
901,0,良,,4,50,,50,0,,50,50,25,25,0,0
902,0,,,3,198.66,100,66.22,90,90,10050,50,,971.67,27,823
903,0,,3.73,1,0,0,0,0,0,0,0,,0,7,315
904,1,优,2.99,3,205.45,100,68.48,0,0,500,200,,240,0,0
905,0,优,1.51,2,100,100,100,0,0,100,100,,100,0,0
906,0,优,7.92,3,185,100,61.67,0,0,200,10,,71,9,337
907,0,良,2.05,0,0,0,0,0,0,0,0,,0,0,0
908,0,,5.14,3,60,40,20,0,0,3000,500,,603.33,2,545
909,0,优,12.1,10,197.32,80,65.77,0,0,5320,500,,1693.72,0,0
910,0,良,1.23,11,190,100,38,0,0,500,10,,73.2,6,257
911,0,,14.17,8,89.2,50,29.73,0,0,4000,550,,325.33,3,419
912,0,优,10.57,1,143.4,100,71.7,0,0,10,5.3,,6.15,9,419
913,0,良,16.76,8,267.61,60,38.23,140,50,300,50,,59,4,505
914,0,优,0.3,1,20,20,20,0,0,50,50,,10,0,0
915,0,优,8.88,2,0,0,0,0,0,0,0,,0,3,119
916,0,良,14.52,4,37.01,20,12.34,7.43,7.43,200,50,,11.08,4,413
917,0,良,0.78,2,130,80,65,50,50,200,50,,92.5,0,0
918,0,优,19.45,9,636.83,98,70.76,197.83,90,10000,100,,1351.56,17,606
919,0,良,16.41,1,0,0,0,0,0,0,0,,0,0,0
920,0,优,3.22,2,28,28,28,0,0,1000,1000,280,280,2,246
921,0,优,12.75,2,95,95,95,0,0,3000,3000,2850,2850,12,60
922,0,良,7.49,6,192,100,64,92,90,1000,50,1000,355,2,338
923,0,优,6.08,3,70,70,70,0,0,800,800,560,560,0,0
924,0,优,2.21,1,100,100,100,100,100,10,10,10,10,2,44
925,0,良,4.67,1,0,0,0,0,0,0,0,0,0,0,0
926,0,良,8.77,1,0,0,0,0,0,0,0,0,0,0,0
927,0,优,2.19,2,10,10,10,10,10,50,50,5,5,0,0
928,0,良,3.11,1,100,100,100,0,0,10,10,10,10,0,0
929,0,良,18.89,4,245,90,61.25,0,0,500,40,210,124,32,1209
930,0,优,6,4,180,70,45,10,10,1050,50,500,183.75,1,182
931,0,,12.8,3,90,90,90,90,90,300,300,270,270,0,0
932,0,良,10.5,1,195,100,97.5,100,100,5000,0,4750,4750,17,12
933,0,,6.44,1,65,65,65,0,0,500,500,275,275,0,0
934,0,良,16.72,11,234.87,50,19.57,80,50,3000,133.6,1500,166.66,0,0
935,0,良,3.02,1,0,0,0,0,0,5,5,5,5,0,0
936,0,优,6.06,5,180,100,90,80,80,100,50,100,70,4,1355
937,0,良,2.08,4,375,100,75,225,100,2000,50,2000,460,0,0
938,0,优,4.3,2,20,20,20,0,0,500,500,100,100,0,0
939,0,优,16.71,1,95.59,95.59,95.59,0,0,998,998,953.95,953.95,5,612
940,1,优,16.25,21,0,0,0,0,0,0,0,0,0,6,136
941,0,良,8.55,2,0,0,0,0,0,0,0,0,0,0,0
942,0,优,14.84,2,90,90,90,0,0,50,50,45,45,5,449
943,0,良,10.03,3,160,100,80,100,100,1000,5,600,302.5,0,0
944,0,良,5.97,21,310,100,51.67,90,90,10000,100,10000,2581.67,8,361
945,0,优,14.51,1,0,0,0,0,0,0,0,0,0,3,347
946,0,良,1.78,7,170,100,56.67,0,0,100,10,30,16.67,0,0
947,0,优,11.73,1,0,0,0,0,0,0,0,0,0,17,219
948,0,优,3.06,2,100,100,100,0,0,200,200,200,200,14,291
949,0,良,6.74,1,100,100,100,0,0,30,30,30,30,2,249
950,0,,3.71,1,60,60,60,0,0,82,82,49.2,49.2,0,0
951,0,优,8.14,1,50,50,50,0,0,500,500,250,250,2,838
952,0,良,1.15,3,125,100,41.67,100,100,100,4.6,25,14.8,10,349
953,0,,8.25,2,80,80,80,0,0,600,600,480,480,5,5
954,1,优,5.85,7,489.29,100,69.9,99.29,99.29,1000,100,695,389.29,5,295
955,0,良,2.62,1,100,100,100,0,0,100,100,100,100,0,0
956,0,优,15.58,3,82,50,27.33,50,50,350,10,56,25.77,6,773
957,0,优,4.07,1,10,10,10,0,0,800,800,80,80,0,0
958,0,良,8.9,7,415,100,83,0,0,2400,500,2400,1030,0,0
959,0,良,7.7,5,207,100,51.75,0,0,800,50,536,151.5,10,459
960,0,优,21.02,11,459.05,90,45.91,87,67,2000,50,3350,547.33,7,213
961,0,良,15.65,1,52.14,,52.14,0,0,2000,2000,1042.8,1042.8,2,170
962,0,优,4.19,20,442.5,,44.25,20,20,4000,50,3700,530,1,99
963,0,优,6.08,2,50,,50,0,0,500,500,250,,0,0
964,0,良,21.09,4,90,,45,90,80,50,50,40,,4,284
965,0,优,2.25,2,110,,55,0,0,500,50,400,,0,0
966,0,优,1.45,1,0,,0,0,0,0,0,0,,0,0
967,0,良,4.35,4,208,,52,,50,1000,10,430,,19,472
968,0,良,4.83,2,60,,30,,0,50,10,25,,8,284
969,0,优,12.78,2,83.33,,83.33,,0,300,300,250,,10,166
970,0,良,10.87,,267.68,,44.61,,0,12800,1500,4300,,0,0
971,0,良,5.9,,192.27,,48.07,,72.33,1010.125,150,480,,0,0
972,0,优,2.23,,110,,55,,0,1000,100,100,,,0
973,0,,7.59,,74.23,,24.74,,35,3025.4861,100,1186.9441,,,304
974,0,良,5.76,,100,,50,,50,50,50,25,,,0
975,0,,11.69,,100,,100,,0,200,200,200,,,662
976,0,良,16.57,,110.56,,36.85,,0,0,0,2970,,,212
977,0,良,16.43,2,90,,30,60,60,50,0,30,,,0
978,1,优,9.01,1,10,10,10,0,0,1000,1000,100,,,395
979,0,良,5.89,13,419.51,100,46.61,220,100,6607.6,50,2478.7,,0,0
980,0,优,20.97,3,184.24,51.1,36.85,33.33,33.33,2458.77,3,1256.43,,4,1027
981,0,优,,2,30,,30,30,30,100,100,30,,2,232
982,0,良,,3,150,,75,0,0,1000,50,1000,,0,0
983,0,良,,4,173.59,,57.86,125.68,73.68,223.1579,,106.915,,0,0
984,0,优,,3,185,,61.67,0,0,1010,,959.5,,0,0
985,0,良,,4,50,,10,0,0,1200,,180,,12,287
986,0,良,,4,73.33,40,36.66,0,0,50,,20,,3,211
987,0,优,,1,5,5,5,0,0,1001,,50.05,,7,499
988,0,,2.85,2,100,100,100,0,0,100,,100,,6,65
989,0,,23.69,5,130,60,43.33,30,30,550,,330,,9,399
990,1,优,6.32,1,90,90,90,0,0,100,,90,,0,0
991,0,,3.18,4,290,100,72.5,100,60,1000,500,1000,,24,83
992,0,,6,5,266.82,52,38.12,0,0,100000,1000,5000,,16,69
993,0,,4.13,3,103,63,51.5,40,40,3200,50,2016,,0,0
994,0,良,4.38,14,327.5,100,65.5,50,50,2000,50,950,,0,0
995,0,优,13.15,6,547.72,100,68.47,374.3,100,568,28,401,,0,0
996,1,优,36.11,4,236.34,90,78.78,0,0,101,50,80,,0,0
997,0,良,3.22,2,49,49,49,0,0,500,500,245,245,11,215
998,0,,10.39,16,369.7,100,46.21,44.1,44.1,5000,10,5000,912.9,0,0
999,0,优,19.81,3,160,100,40,0,0,1000,50,300,122.88,6,236
1000,0,良,1.78,1,50,50,50,0,0,10,10,5,5,0,0
